id_buku,id_ddc,id_jenisbuku,id_sumberbuku,judul_buku,penerbit,pengarang,isbn,thn_terbit,tinggi_buku,tgl_penerimaan,jml_halaman,jml_eksemplar,stok_buku,rak_buku,gambar_buku
,,,,Kalimati ,,,,,,,,,,,
,,,,Kamus Inggris Indonesia,,,,,,,,,,,
,1,,,Kamus Kedokteran Dorland,Depkes RI Indonesia ,Buku Kedokteran,,1998,,,,,,,
,17,,,Kamus Keperawatan ,Dinamika Jakarta ,Rahayuni,,1978,,,,,,,
,17,,,Kamus Keperawatan ,Dinamika Jakarta ,Rahayuni,,1978,,,,,,,
,1,,,Kamus Lengkap Bahasa Jawa,Widya Karya Semarang,Drs. Damanto,,2016,,,,,,,
,13,,,Kapitan Patimura ,Kemdikbud Jakarta ,Ig Nanulaita ,,1985,,,,,,,
,13,,,Kartika Wulandari,CV. Swakarya Jakarta,Slamet N,,36,,,,,,,
,13,,,Kasihku Disirandu,Mita Gama Widya,Drs. K. Soemar,,1996,,,,,,,
,,,,Katalog Aplikasi Office Database Buku Komputer A,,,,,,,,,,,
,13,,,Keajabian Di Pasar Senin ,CV. Mus Jakarta,Misbach Yusa,,35,,,,,,,
,13,,,Kebutuhan Dasar Mannusia,Pilar Utama Mandiri Jaktim ,"Dewi Puspita Ns, Tuti Asria",,2017,,,,,,,
,13,,,Keluarga Permana ,Nusa Agung Jakarta ,Ramadhan ,,35,,,,,,,
,13,,,Kembali Ziarah,Gama Media Yogyakarta,Isbedy Stiawan,,35,,,,,,,
,13,,,Kepahlawanan Generasi Sahabat Rosulullah,UNU Islam Malang ,DR. Abdurrahman,,33,,,,,,,
,,,,Kesehatan Kerja,,,,,,,,,,,
,17,,,Keselamatan Dan Kesehatan  Kerja ,Gasyen Publis Jatinegara,Cecep Dani,,2014,,,,,,,
,17,,,Keselamatan Kesehatan  Dan Lingkungan Hidup (K3LH) ,Pilar Utama Mandiri Jaktim ,"Heru Widiarto, H. Abduh B",,2017,,,,,,,
,17,,,Ketrampilan Dasar Tindak Keperawatan 2,Pilar Utama Mandiri Jaktim ,Dhanik Tri Dewi Puspita,,2018,,,,,,,
,19,,,Ketrampilan Komputer Dan Pengelolaan Informasi XI (2),Erlangga Jakarta,Nurindah D,,2013,,,,,,,
,19,,,Ketrampilan Komputer Dan Pengelolaan Informasi XII (3),Erlangga Jakarta,Nuridah Dwiyani,,2013,,,,,,,
,15,,,Kimia ,erlangga Ciracas Jakarta,"Aas Saidah, Tiara Damay",,2017,,,,,,,
,18,,,Kimia Farmasi 2,Pilar Utama Mandiri Jaktim ,"Adi Yuli war, Heri Reksa",,2017,,,,,,,
,18,,,Kimia Farmasi Prog. Farmasi Kelas XI,Buku Kedokteran ,Yulie,,2017,,,,,,,
,15,,,Kimia X (1),Erlangga Jakarta,Siti Nagiyah,,2015,,,,,,,
,15,,,Kimia XI Kelompok Teknologi Dan Kesehatan ,Erlangga Jakarta,Siti Nagiyah,,2013,,,,,,,
,17,,,Komunikasi Keperawatan,Pilar Utama Mandiri Jaktim ,Supanjiono Ns Tuti Asri,,2017,,,,,,,
,17,,,Konsep Dasar Keperawatan 1,Pilar Utama Mandiri Jaktim ,Supanjiono Ns Endah IV,,2018,,,,,,,
,13,,,Layar Terkembang,Balai Pustaka Jakarta,St. Takdir Alisy,,35,,,,,,,
,13,,,Malam Taman Sari ,Gama Media Yogyakarta,Suminto,,33,,,,,,,
,13,,,Malam Terakhir ,Grafiti Jakarta,Leila S Shudo,,35,,,,,,,
,16,,,Matematika  X (1),Erlangga Jakarta,Eka Zuliana,,2012,,,,,,,
,16,,,Matematika 1,Erlangga Ciracas Jakarta,Kasmina Toali,,2018,,,,,,,
,16,,,Matematika 1,Erlangga Ciracas Jakarta,Kasmina Toali,,2018,,,,,,,
,16,,,Matematika 2,Erlangga Ciracas Jakarta,Kasmina Toali,,2018,,,,,,,
,16,,,Matematika 3,Erlangga Jakarta,Kasmina Toali,,2018,,,,,,,
,16,,,Matematika X,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,16,,,Matematika XI,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,16,,,Matematika XI,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,16,,,Matematika XII,Erlangga Jakarta,Kasmina Toali,,2018,,,,,,,
,16,,,Matematika XII (3),Erlangga Jakarta,Tasmina Taoli,,38,,,,,,,
,18,,,Memahami Teknik Pembuatan Sediaan Obat Dalam Skala Kecil dan Skala Industri,Erlangga Jakarta,Bidang Studii Keahlian Farmasi,,2015,,,,,,,
,13,,,Membaca Semesta,Dwi Segara Jakarta,Dwi Segara,,35,,,,,,,
,18,,,Menangkal Narkoba Dan Kekerasan,Balai Pustaka Jakarta,Dr. Lydiahar,,36,,,,,,,
,18,,,Modul MenerapkanPembuatan Sediaaan Obat Sesuai Resep Dokter Dibawah Pengaawasan Apotek,Erlangga Jakarta,Maryani ,,2012,,,,,,,
,13,,,Nyanyian Anak Cucu,Angkas Bandung,Upita Agustina ,,30,,,,,,,
,13,,,Nyanyian Tanah Air,Grasindo Jakarta ,Saini KM,,35,,,,,,,
,13,,,Orang-Orang Belanda Dipintu Darurat,Jakarta Putra Sukses,Munggul Wibowo,,32,,,,,,,
,13,,,Pahlawan Dan Tikus,Hikayat Publis Yogyakarta,K.H.A Mustala,,35,,,,,,,
,13,,,"Pak Jon, Apa Bebernya Kerjaanmu",Depdikbud Jakarta ,Marjono ,,35,,,,,,,
,13,,,Pejuang Pantang Menyerang ,CV. Nugraha Jakarta,Purnawan,,1986,,,,,,,
,18,,,Pelayanan farmasi,Pilar Utama Mandiri Jaktim ,"Abdur Rahman, Fitri Soleh",,2017,,,,,,,
,18,,,Pelayanan Farmasi Adm Farma Kelas X,Buku Kedokteran ,Syukrina,,2017,,,,,,,
,18,,,Pelayanan Farmasi Adm Farma Kelas XII,Buku Kedokteran ,Syukrina,,2017,,,,,,,
,18,,,Pelayanan Farmasi Ilmu Resep Kelas XI Dan XII,Buku Kedokteran,Ai Kurasein,,2017,,,,,,,
,18,,,Pelayanan Farmasi Simulasi Apotek Kelas XI Dan XII,Buku Kedokteran,Fitrri Zakiah,,2017,,,,,,,
,3,,,Pendidikan Agama Islam 1,,,,,,,,,,,
